collection,publication,year,issue_or_edition,filename,source_url,notes
long-trail-news,Long Trail News,1929,February 1929,1929_02_Feb.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1929_02_Feb.pdf,
long-trail-news,Long Trail News,1929,April 1929,1929_04_Apr.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1929_04_Apr.pdf,
long-trail-news,Long Trail News,1929,June 1929,1929_06_June.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1929_06_June.pdf,
long-trail-news,Long Trail News,1929,July 1929,1929_07_July.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1929_07_July.pdf,
long-trail-news,Long Trail News,1929,August 1929,1929_08_August.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1929_08_August.pdf,
long-trail-news,Long Trail News,1929,October 1929,1929_10_Oct.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1929_10_Oct.pdf,
long-trail-news,Long Trail News,1929,December 1929,1929_12_Dec.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1929_12_Dec.pdf,
long-trail-news,Long Trail News,1930,February 1930,1930_02_Feb.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1930_02_Feb.pdf,
long-trail-news,Long Trail News,1930,April 1930,1930_04_Apr.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1930_04_Apr.pdf,
long-trail-news,Long Trail News,1930,June 1930,1930_06_June.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1930_06_June.pdf,
long-trail-news,Long Trail News,1930,August 1930,1930_08_Aug.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1930_08_Aug.pdf,
long-trail-news,Long Trail News,1930,October 1930,1930_10_Oct.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1930_10_Oct.pdf,
long-trail-news,Long Trail News,1930,December 1930,1930_12_Dec.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1930_12_Dec.pdf,
long-trail-news,Long Trail News,1931,February 1931,1931_02_Feb.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1931_02_Feb.pdf,
long-trail-news,Long Trail News,1931,April 1931,1931_04_Apr.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1931_04_Apr.pdf,
long-trail-news,Long Trail News,1931,June 1931,1931_06_June.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1931_06_June.pdf,
long-trail-news,Long Trail News,1931,August 1931,1931_08_Aug.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1931_08_Aug.pdf,
long-trail-news,Long Trail News,1931,October 1931,1931_10_Oct.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1931_10_Oct.pdf,
long-trail-news,Long Trail News,1931,December 1931,1931_12_Dec.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1931_12_Dec.pdf,
long-trail-news,Long Trail News,1932,February 1932,1932_02_Feb.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1932_02_Feb.pdf,
long-trail-news,Long Trail News,1932,April 1932,1932_04_Apr.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1932_04_Apr.pdf,
long-trail-news,Long Trail News,1932,June 1932,1932_06_June.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1932_06_June.pdf,
long-trail-news,Long Trail News,1932,August 1932,1932_08_Aug.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1932_08_Aug.pdf,
long-trail-news,Long Trail News,1932,November 1932,1932_11_Nov.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1932_11_Nov.pdf,
long-trail-news,Long Trail News,1933,February 1933,1933_02_Feb.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1933_02_Feb.pdf,
long-trail-news,Long Trail News,1933,April 1933,1933_04_Apr.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1933_04_Apr.pdf,
long-trail-news,Long Trail News,1933,July 1933,1933_07_July.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1933_07_July.pdf,
long-trail-news,Long Trail News,1933,September 1933,1933_09_Sept.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1933_09_Sept.pdf,
long-trail-news,Long Trail News,1933,November 1933,1933_11_Nov.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1933_11_Nov.pdf,
long-trail-news,Long Trail News,1934,February 1934,1934_02_Feb.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1934_02_Feb.pdf,
long-trail-news,Long Trail News,1934,April 1934,1934_04_Apr.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1934_04_Apr.pdf,
long-trail-news,Long Trail News,1934,June 1934,1934_06_June.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1934_06_June.pdf,
long-trail-news,Long Trail News,1934,September 1934,1934_09_Sept.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1934_09_Sept.pdf,
long-trail-news,Long Trail News,1935,January 1935,1935_01_Jan.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1935_01_Jan.pdf,
long-trail-news,Long Trail News,1935,April 1935,1935_04_Apr.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1935_04_Apr.pdf,
long-trail-news,Long Trail News,1935,July 1935,1935_07_July.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1935_07_July.pdf,
long-trail-news,Long Trail News,1935,September 1935,1935_09_Sept.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1935_09_Sept.pdf,
